Country,State,Year,Tree_Cover_Lose_ha,Green-House_Gases,Tree_cover_loss_from_fires,Tree_cover_loss_rainforest,Drivers_type,umd_tree_cover_loss__ha
IND,West Bengal,2001,386.9869,214000.7,18.66317,5.711842,386.986898,480.146653
IND,West Bengal,2002,358.7006,184966.4,9.768335,33.61429,358.700566,452.776655
IND,West Bengal,2003,194.4443,94252.57,13.39923,6.196154,194.444335,288.806996
IND,West Bengal,2004,569.8242,270358.5,30.82036,16.725,569.824239,663.819238
IND,West Bengal,2005,446.7929,211470.9,16.32399,33.43297,446.792904,541.072201
IND,West Bengal,2006,777.4129,380036.4,18.25137,32.45242,777.412903,875.256871
IND,West Bengal,2007,1503.389,754566.7,42.89966,137.1525,1503.38926,1598.172541
IND,West Bengal,2008,1533.711,722096.1,61.57112,93.88748,1533.710679,1617.494051
IND,West Bengal,2009,897.3664,435066.6,26.3602,48.3397,897.36639,897.366424
IND,West Bengal,2010,2020.533,951001.1,93.4311,53.10819,2020.533182,2114.386949
IND,West Bengal,2011,945.7257,463197.6,45.48474,12.79376,945.725702,1039.584061
IND,West Bengal,2012,1228.327,608200.2,45.84918,42.96838,1228.326779,1322.109824
IND,West Bengal,2013,330.6536,174640,16.81348,19.00889,330.653628,426.920282
IND,West Bengal,2014,652.6794,334183.2,7.652687,61.94641,652.679403,747.742126
IND,West Bengal,2015,148.0094,94034.5,2.275088,16.32448,148.009434,367628.7559
IND,West Bengal,2016,244.8489,163203.6,5.6515,30.2345,244.848885,79298.09304
IND,West Bengal,2017,483.1208,261557.8,7.997241,43.34337,483.120913,988232.6065
IND,West Bengal,2018,284.1014,155469.4,2.965801,6.475158,284.101402,409.842184
IND,West Bengal,2019,344.5547,161973.3,6.821853,13.09632,344.554729,439.898266
IND,West Bengal,2020,282.3331,142075,11.38123,14.09972,282.333101,1017382.183
IND,West Bengal,2021,422.6967,248966.4,2.135063,36.90921,422.696716,91393.90451
IND,West Bengal,2022,507.8392,278137.9,3.029923,75.00723,507.839188,603.004616
IND,West Bengal,2023,528.1879,358676.7,10.06822,12.65594,528.187887,91516.72503
IND,West Bengal,2024,394.1756,297820.1,5.65028,18.9922,394.175567,487.898842
