Drivers_type,Year,Loss_area_ha
Hard commodities,2001,0.206353
Logging,2001,37.59765
Other natural disturbances,2001,61.53814
Permanent agriculture,2001,195.5137
Settlements & Infrastructure,2001,29.91466
Shifting cultivation,2001,1.863054
Unknown,2001,60.14699
Wildfire,2001,0.206351
Hard commodities,2002,4.40905
Logging,2002,80.44339
Other natural disturbances,2002,53.6912
Permanent agriculture,2002,154.4881
Settlements & Infrastructure,2002,13.73715
Shifting cultivation,2002,0.275943
Unknown,2002,51.51798
Wildfire,2002,0.137753
Hard commodities,2003,0.275582
Logging,2003,19.20254
Other natural disturbances,2003,29.57715
Permanent agriculture,2003,128.7304
Settlements & Infrastructure,2003,3.447461
Unknown,2003,13.14223
Wildfire,2003,0.068972
Hard commodities,2004,1.859845
Logging,2004,139.3587
Other natural disturbances,2004,65.53194
Permanent agriculture,2004,277.2765
Settlements & Infrastructure,2004,18.51216
Shifting cultivation,2004,0.413691
Unknown,2004,66.04595
Wildfire,2004,0.825453
Hard commodities,2005,0.7575
Logging,2005,92.86183
Other natural disturbances,2005,34.42866
Permanent agriculture,2005,248.9467
Settlements & Infrastructure,2005,13.24081
Shifting cultivation,2005,8.830082
Unknown,2005,47.4521
Wildfire,2005,0.275222
Hard commodities,2006,0.757491
Logging,2006,191.2736
Other natural disturbances,2006,66.06303
Permanent agriculture,2006,420.0882
Settlements & Infrastructure,2006,42.71764
Shifting cultivation,2006,2.966552
Unknown,2006,53.54639
Wildfire,2006,0
Hard commodities,2007,5.159224
Logging,2007,459.3706
Other natural disturbances,2007,145.4572
Permanent agriculture,2007,698.7669
Settlements & Infrastructure,2007,64.68984
Shifting cultivation,2007,45.60006
Unknown,2007,82.69426
Wildfire,2007,1.651176
Hard commodities,2008,6.405012
Logging,2008,286.3981
Other natural disturbances,2008,250.3634
Permanent agriculture,2008,839.2445
Settlements & Infrastructure,2008,38.20396
Shifting cultivation,2008,53.60405
Unknown,2008,58.32149
Wildfire,2008,1.170167
Hard commodities,2009,2.272891
Logging,2009,202.2863
Other natural disturbances,2009,60.56594
Permanent agriculture,2009,535.6701
Settlements & Infrastructure,2009,30.06729
Shifting cultivation,2009,4.000224
Unknown,2009,61.6092
Wildfire,2009,0.894445
Hard commodities,2010,1.652415
Logging,2010,283.2033
Other natural disturbances,2010,225.2732
Permanent agriculture,2010,1386.215
Settlements & Infrastructure,2010,44.86394
Shifting cultivation,2010,2.690576
Unknown,2010,75.46476
Wildfire,2010,1.169991
Hard commodities,2011,0.688306
Logging,2011,144.7757
Other natural disturbances,2011,67.34349
Permanent agriculture,2011,670.6382
Settlements & Infrastructure,2011,19.03273
Shifting cultivation,2011,2.622825
Unknown,2011,40.21185
Wildfire,2011,0.412601
Hard commodities,2012,5.233184
Logging,2012,281.9066
Other natural disturbances,2012,71.14844
Permanent agriculture,2012,757.8117
Settlements & Infrastructure,2012,36.82328
Shifting cultivation,2012,2.552563
Unknown,2012,70.6466
Wildfire,2012,2.204412
Hard commodities,2013,0.068839
Logging,2013,108.2126
Other natural disturbances,2013,8.7434
Permanent agriculture,2013,193.2813
Settlements & Infrastructure,2013,6.611567
Shifting cultivation,2013,3.602423
Unknown,2013,10.06473
Wildfire,2013,0.068769
Hard commodities,2014,0.068957
Logging,2014,224.2575
Other natural disturbances,2014,17.37483
Permanent agriculture,2014,373.3199
Settlements & Infrastructure,2014,13.6373
Shifting cultivation,2014,7.873076
Unknown,2014,16.14784
Hard commodities,2015,0.965396
Logging,2015,63.05838
Other natural disturbances,2015,1.653732
Permanent agriculture,2015,77.23052
Settlements & Infrastructure,2015,1.723981
Shifting cultivation,2015,0.275995
Unknown,2015,3.10143
Hard commodities,2016,3.034117
Logging,2016,83.44041
Other natural disturbances,2016,37.64001
Permanent agriculture,2016,105.7348
Settlements & Infrastructure,2016,11.27323
Shifting cultivation,2016,0.895574
Unknown,2016,2.830744
Hard commodities,2017,0.27583
Logging,2017,145.9135
Other natural disturbances,2017,23.23854
Permanent agriculture,2017,297.6194
Settlements & Infrastructure,2017,6.677001
Shifting cultivation,2017,5.607178
Unknown,2017,3.03396
Wildfire,2017,0.755504
Logging,2018,51.28345
Other natural disturbances,2018,17.24366
Permanent agriculture,2018,193.6646
Settlements & Infrastructure,2018,7.735846
Shifting cultivation,2018,9.666859
Unknown,2018,4.506987
Hard commodities,2019,0.41253
Logging,2019,73.87159
Other natural disturbances,2019,17.24237
Permanent agriculture,2019,231.9099
Settlements & Infrastructure,2019,12.32767
Shifting cultivation,2019,2.695452
Unknown,2019,6.095217
Hard commodities,2020,29.43379
Logging,2020,33.60428
Other natural disturbances,2020,22.88828
